VTX, IDX, _input0.x, _input0.y, _input0.z, _input1.x, _input1.y, _input1.z, _input2.x, _input2.y, _input3.x, _input3.y
8827, 1860, -4.88526, -1.1107,  0.7015, -0.39307,  0.64756,  0.25722,  0.6156,  0.8565,  0.6156,  0.8565
8828, 1851, -4.46592, -0.93139,  0.64746, -0.28422,  0.74733, -0.02689,  0.5982,  0.8925,  0.5982,  0.8925
8829, 1859, -4.73472, -1.07878,  0.71807, -0.57073,  0.52052,  0.20815,  0.6074,  0.8668,  0.6074,  0.8668
8830, 1861, -4.83238, -1.08918,  0.77395, -0.60636,  0.06755, -0.51746,  0.6075,  0.8571,  0.6075,  0.8571
8831, 1852, -4.7992, -1.03106,  0.92013, -0.31134,  0.7369,  0.00672,  0.5941,  0.8543,  0.5941,  0.8543
8832, 1852, -4.7992, -1.03106,  0.92013, -0.31134,  0.7369,  0.00672,  0.5941,  0.8543,  0.5941,  0.8543
8833, 1861, -4.83238, -1.08918,  0.77395, -0.60636,  0.06755, -0.51746,  0.6075,  0.8571,  0.6075,  0.8571
8834, 1862, -4.85301, -1.07921,  0.84584, -0.79511, -0.03627, -0.08051,  0.6028,  0.8526,  0.6028,  0.8526
8835, 1863, -4.81081, -1.09228,  0.73091, -0.0808,  0.14681,  0.78225,  0.6099,  0.8607,  0.6099,  0.8607
8836, 1859, -4.73472, -1.07878,  0.71807, -0.57073,  0.52052,  0.20815,  0.6074,  0.8668,  0.6074,  0.8668
8837, 1860, -4.88526, -1.1107,  0.7015, -0.39307,  0.64756,  0.25722,  0.6156,  0.8565,  0.6156,  0.8565
8838, 1946,  3.08023,  2.06966,  1.91348,  0.47118,  0.11483,  0.63624,  0.3661,  0.6014,  0.3661,  0.6014
8839, 1948,  3.04589,  1.80153,  1.88358,  0.40035, -0.30458,  0.62205,  0.3568,  0.5897,  0.3568,  0.5897
8840, 1950,  3.20662,  1.83358,  1.7481,  0.58959, -0.28646,  0.45861,  0.3486,  0.5999,  0.3486,  0.5999
8841, 1950,  3.20662,  1.83358,  1.7481,  0.58959, -0.28646,  0.45861,  0.3486,  0.5999,  0.3486,  0.5999
8842, 1948,  3.04589,  1.80153,  1.88358,  0.40035, -0.30458,  0.62205,  0.3568,  0.5897,  0.3568,  0.5897
8843, 1938,  2.95088,  1.57901,  1.75941,  0.34771, -0.45857,  0.5557,  0.3472,  0.5777,  0.3472,  0.5777
8844, 1858, -4.62625, -1.00388,  1.05664, -0.18674,  0.33738,  0.70093,  0.5761,  0.8605,  0.5761,  0.8605
8845, 1852, -4.7992, -1.03106,  0.92013, -0.31134,  0.7369,  0.00672,  0.5941,  0.8543,  0.5941,  0.8543
8846, 1864, -4.73762, -1.03043,  1.00417, -0.40942,  0.16961,  0.66604,  0.5852,  0.8545,  0.5852,  0.8545
8847, 1852, -4.7992, -1.03106,  0.92013, -0.31134,  0.7369,  0.00672,  0.5941,  0.8543,  0.5941,  0.8543
8848, 1862, -4.85301, -1.07921,  0.84584, -0.79511, -0.03627, -0.08051,  0.6028,  0.8526,  0.6028,  0.8526
8849, 1865, -4.8211, -1.05871,  0.92387, -0.6855,  0.0262,  0.41158,  0.5952,  0.8515,  0.5952,  0.8515
